symbol;available_exchanges;currency_base;currency_quote
"0xBTC/BTC";"[""Hotbit"",""Mercatox""]";"0xBitcoin";"Bitcoin"
"0xBTC/ETH";"[""Hotbit"",""Mercatox""]";"0xBitcoin";"Ethereum"
"0xBTC/USD";"[""Synthetic""]";"0xBitcoin";"US Dollar"
"1INCH/BTC";"[""Binance""]";"1inch";"Bitcoin"
"1INCH/INR";"[""Bitbns""]";"1inch";"Indian Rupee"
"1INCH/USD";"[""Binance"",""Huobi""]";"1inch";"US Dollar"
"1ST/ETH";"[""HitBTC""]";"FirstBlood";"Ethereum"
"1ST/USD";"[""Synthetic""]";"FirstBlood";"US Dollar"
"2GIVE/USD";"[""Synthetic""]";"2GIVE";"US Dollar"
"300/USD";"[""Synthetic""]";"300 Token";"US Dollar"
"611/USD";"[""Synthetic""]";"SixEleven";"US Dollar"
"808/USD";"[""Synthetic""]";"808Coin";"US Dollar"
"888/BTC";"[""YoBit""]";"OctoCoin";"Bitcoin"
"888/USD";"[""Synthetic""]";"OctoCoin";"US Dollar"
"8BIT/USD";"[""Synthetic""]";"8Bit";"US Dollar"
"999/USD";"[""Synthetic""]";"999";"US Dollar"
"AAC/BTC";"[""CoinTiger""]";"Acute Angle Cloud";"Bitcoin"
"AAC/USD";"[""OKEx""]";"Acute Angle Cloud";"US Dollar"
"AAVE/BRL";"[""Synthetic""]";"Aave";"Brazil Real"
"AAVE/BTC";"[""Bibox"",""Binance""]";"Aave";"Bitcoin"
"AAVE/CAD";"[""Synthetic""]";"Aave";"Canadian Dollar"
"AAVE/ETH";"[""Bibox"",""Binance""]";"Aave";"Ethereum"
"AAVE/EUR";"[""Coinbase Pro"",""Kraken""]";"Aave";"Euro"
"AAVE/INR";"[""Bitbns""]";"Aave";"Indian Rupee"
"AAVE/TRY";"[""Paribu""]";"Aave";"Turkish Lira"
"AAVE/USD";"[""Binance"",""Gate.io""]";"Aave";"US Dollar"
"ABBC/BTC";"[""BitForex""]";"ABBC Coin";"Bitcoin"
"ABBC/USD";"[""BitForex"",""DragonEX""]";"ABBC Coin";"US Dollar"
"ABN/USD";"[""Synthetic""]";"Abncoin";"US Dollar"
"ABT/USD";"[""OKEx""]";"Arcblock";"US Dollar"
"ABY/USD";"[""Synthetic""]";"ArtByte";"US Dollar"
"ACA/BTC";"[""Binance""]";"Acala Token";"Bitcoin"
"ACA/BUSD";"[""Binance""]";"Acala Token";"Binance USD"
"ACAT/BTC";"[""Hotbit""]";"Alphacat";"Bitcoin"
"ACAT/ETH";"[""Hotbit""]";"Alphacat";"Ethereum"
"ACAT/USD";"[""Synthetic""]";"Alphacat";"US Dollar"
"ACA/USD";"[""Binance"",""Gate.io"",""KuCoin""]";"Acala Token";"US Dollar"
"ACC/USD";"[""Synthetic""]";"AdCoin";"US Dollar"
"ACES/USD";"[""Synthetic""]";"Aces";"US Dollar"
"ACH/USD";"[""Coinbase Pro"",""Gate.io"",""Huobi""]";"Alchemy Pay";"US Dollar"
"ACN/USD";"[""Synthetic""]";"Avoncoin";"US Dollar"
"ACOIN/BTC";"[""YoBit""]";"Acoin";"Bitcoin"
"ACOIN/USD";"[""Synthetic""]";"Acoin";"US Dollar"
"ACP/USD";"[""Synthetic""]";"AnarchistsPrime";"US Dollar"
"ACT/BTC";"[""Huobi"",""OKEx""]";"Achain";"Bitcoin"
"ACT/ETH";"[""Huobi"",""Kucoin""]";"Achain";"Ethereum"
"ACT/USD";"[""OKEx""]";"Achain";"US Dollar"
"AC/USD";"[""Synthetic""]";"AsiaCoin";"US Dollar"
"ADA/AUD";"[""Synthetic""]";"Cardano";"Australian Dollar"
"ADA/BNB";"[""Binance""]";"Cardano";"Binance Coin"
"ADA/BRL";"[""Binance"",""MercadoBitcoin"",""NovaDAX""]";"Cardano";"Brazil Real"
"ADA/BTC";"[""Binance"",""HitBTC""]";"Cardano";"Bitcoin"
"ADA/CAD";"[""Synthetic""]";"Cardano";"Canadian Dollar"
"ADA/CNY";"[""Synthetic""]";"Cardano";"Chinese Yuan"
"ADA/ETH";"[""Binance"",""Huobi""]";"Cardano";"Ethereum"
"ADA/EUR";"[""Binance"",""Kraken"",""Synthetic""]";"Cardano";"Euro"
"ADA/HKD";"[""Synthetic""]";"Cardano";"Hong Kong Dollar"
"ADA/ILS";"[""Synthetic""]";"Cardano";"Israeli Shekel"
"ADA/INR";"[""Bitbns"",""Synthetic""]";"Cardano";"Indian Rupee"
"ADA/KRW";"[""Upbit""]";"Cardano";"Korean Won"
"ADA/MXN";"[""Synthetic""]";"Cardano";"Mexican Peso"
"ADA/MYR";"[""Synthetic""]";"Cardano";"Malaysian Ringgit"
"ADA/PLN";"[""Synthetic""]";"Cardano";"Polish Zloty"
"ADA/RUB";"[""Synthetic""]";"Cardano";"Russian Ruble"
