symbol;currency_group;currency_base;currency_quote
"AED/ARS";"Exotic-Cross";"UAE Dirham";"Argentinian Peso"
"AED/AUD";"Exotic-Cross";"UAE Dirham";"Australian Dollar"
"AED/BBD";"Exotic-Cross";"UAE Dirham";"Barbadian Dollar"
"AED/BHD";"Exotic-Cross";"UAE Dirham";"Baharain Dinar"
"AED/BRL";"Exotic-Cross";"UAE Dirham";"Brazil Real"
"AED/CAD";"Exotic-Cross";"UAE Dirham";"Canadian Dollar"
"AED/CHF";"Exotic-Cross";"UAE Dirham";"Swiss Franc"
"AED/CLP";"Exotic-Cross";"UAE Dirham";"Chilean Peso"
"AED/CNY";"Exotic-Cross";"UAE Dirham";"Chinese Yuan"
"AED/CZK";"Exotic-Cross";"UAE Dirham";"Czech Koruna"
"AED/DKK";"Exotic-Cross";"UAE Dirham";"Danish Krone"
"AED/EGP";"Exotic-Cross";"UAE Dirham";"Egyptian Pound"
"AED/EUR";"Exotic-Cross";"UAE Dirham";"Euro"
"AED/GBP";"Exotic-Cross";"UAE Dirham";"British Pound"
"AED/HKD";"Exotic-Cross";"UAE Dirham";"Hong Kong Dollar"
"AED/HUF";"Exotic-Cross";"UAE Dirham";"Hungarian Forint"
"AED/IDR";"Exotic-Cross";"UAE Dirham";"Indonesian Rupiah"
"AED/ILS";"Exotic-Cross";"UAE Dirham";"Israeli Shekel"
"AED/INR";"Exotic-Cross";"UAE Dirham";"Indian Rupee"
"AED/ISK";"Exotic-Cross";"UAE Dirham";"Icelandic Krona"
"AED/JMD";"Exotic-Cross";"UAE Dirham";"Jamaican Dollar"
"AED/JOD";"Exotic-Cross";"UAE Dirham";"Jordan Dinar"
"AED/JPY";"Exotic-Cross";"UAE Dirham";"Japanese Yen"
"AED/KES";"Exotic-Cross";"UAE Dirham";"Kenyan Shilling"
"AED/KRW";"Exotic-Cross";"UAE Dirham";"Korean Won"
"AED/KWD";"Exotic-Cross";"UAE Dirham";"Kuwaiti Dinar"
"AED/LBP";"Exotic-Cross";"UAE Dirham";"Lebanese Pound"
"AED/LKR";"Exotic-Cross";"UAE Dirham";"Sri Lankan Rupee"
"AED/MAD";"Exotic-Cross";"UAE Dirham";"Moroccan Dirham"
"AED/MXN";"Exotic-Cross";"UAE Dirham";"Mexican Peso"
"AED/MYR";"Exotic-Cross";"UAE Dirham";"Malaysian Ringgit"
"AED/NAD";"Exotic-Cross";"UAE Dirham";"Namibian Dollar"
"AED/NOK";"Exotic-Cross";"UAE Dirham";"Norwegian Krone"
"AED/NPR";"Exotic-Cross";"UAE Dirham";"Nepalese Rupee"
"AED/NZD";"Exotic-Cross";"UAE Dirham";"New Zealand Dollar"
"AED/OMR";"Exotic-Cross";"UAE Dirham";"Omani Rial"
"AED/PAB";"Exotic-Cross";"UAE Dirham";"Panamanian Balboa"
"AED/PHP";"Exotic-Cross";"UAE Dirham";"Philippine Peso"
"AED/PKR";"Exotic-Cross";"UAE Dirham";"Pakistani Rupee"
"AED/PLN";"Exotic-Cross";"UAE Dirham";"Polish Zloty"
"AED/QAR";"Exotic-Cross";"UAE Dirham";"Qatari Riyal"
"AED/RON";"Exotic-Cross";"UAE Dirham";"Romanian Leu"
"AED/RUB";"Exotic-Cross";"UAE Dirham";"Russian Ruble"
"AED/SAR";"Exotic-Cross";"UAE Dirham";"Saudi Riyal"
"AED/SEK";"Exotic-Cross";"UAE Dirham";"Swedish Krona"
"AED/SGD";"Exotic-Cross";"UAE Dirham";"Singapore Dollar"
"AED/THB";"Exotic-Cross";"UAE Dirham";"Thai Baht"
"AED/TRY";"Exotic-Cross";"UAE Dirham";"Turkish Lira"
"AED/TWD";"Exotic-Cross";"UAE Dirham";"Taiwan Dollar"
"AED/USD";"Exotic";"UAE Dirham";"US Dollar"
"AED/VEF";"Exotic-Cross";"UAE Dirham";"Venezuelan Bolivar"
